facility,region,specialties,procedures,equipment,capabilities,numberDoctors,capacity
"109/No 1 Bekwai Rd (Near Mexico Hotel) Takoradi, Ghana",,['infectiousDiseases'],"['Offers HIV Testing and Counseling', 'Provides Behavior Change Communication services', 'Delivers Hospice / Home Based Care']",[],"['Focuses on HIV, AIDS, and PMTCT', 'Engages in community outreach and stigma reduction initiatives', 'Delivers prevention, behavioral, care, and support services', 'Emphasizes services for vulnerable populations', 'Commits to battling HIV/AIDS and TB through grassroots initiatives']",,
1st Foundation Clinic,,['internalMedicine'],[],[],[],,
2BN Military Hospital,Western,"['internalMedicine', 'dentistry', 'emergencyMedicine']",[],[],"['Offers internal medicine services', 'Provides dentistry services', 'Delivers emergency medicine care']",,
37 Military Hospital,,['internalMedicine'],[],[],[],,
"3E Medical Center - Accra, Ghana",,['internalMedicine'],[],[],['Provides patient treatment with specialized medical and nursing staff'],,
3Way Family Care Clinic,Asutifi South,['internalMedicine'],[],[],['Offers internal medicine services'],,
A & A Medlove Medical Centre,,['internalMedicine'],[],[],['Offers 24-hour medical services'],,
A&a Medlove Medical Centre,,"['gynecologyAndObstetrics', 'pediatrics', 'ophthalmology', 'radiology', 'cardiology']","['Provides general medical consultations', 'Provides specialist consultations', 'Offers obstetrics and gynecology services', 'Offers pediatrics consultations', 'Offers eye care services', 'Performs ultrasound scans', 'Performs electrocardiograms (ECG)']",[],"['Offers outpatient and inpatient care', 'Has an on-site pharmacy', 'Provides laboratory services', 'Established in June 2016', 'Open 24 hours a day, 7 days a week', 'Has 11-15 employees']",,
Abomosu Health Centre,,['internalMedicine'],[],[],"['Located in Abomosu, Ghana', 'Is categorized as a hospital on Facebook', 'Is an unofficial page for Abomosu Health Centre', 'Page created on April 21, 2019', 'Has 35 likes, 35 followers, and 2,118 check-ins', ""Page shows 'Always open' status""]",,
Aboraa Hospital,,['internalMedicine'],[],[],['Offers internal medicine services'],,
Abuakwa Maternity Home,Ashanti,['gynecologyAndObstetrics'],[],[],['Registered with GhanaYello since 12 April 2018'],,
Abura Health Centre,,[],[],[],"['Offers general medical services', 'NHIS accredited', 'Government-owned health centre']",,
Accra Medical Centre,,['internalMedicine'],[],[],[],,
Accra Newtown Islamic Hospital,,"['internalMedicine', 'generalSurgery', 'radiology', 'pathology', 'nephrology']","['Provides ultrasound scanning', 'Provides X-ray imaging', 'Offers major and minor surgeries in an ultra-modern theatre', 'Performs laboratory testing 24/7']","['Operates an ultra-modern operating theatre', 'Has on-site laboratory facilities']","['Conducts laboratory tests 24/7', 'Offers pharmacy services 24/7', 'Has a dialysis center on site', 'Provides appointment scheduling and access to medical records through the ANIH app', 'Has insurance partnerships with Metro, Glico, Star, ACE Medical, and NHIS']",,
Accra Physiotherapy & Sports Injury Clinic,,[],[],[],['Listed in GhanaBusinessWeb as Accra Physiotherapy & Sports Injury Clinic in Health Clinics category'],,
Accra Psychiatric Hospital,,"['emergencyMedicine', 'pathology', 'internalMedicine']","['Provides Electro Convulsive Therapy', 'Offers drug treatment and rehabilitation services', 'Conducts clinical psychology services', 'Delivers occupational therapy services']",[],"['Offers 24-hour emergency care', 'Provides inpatient services with a capacity of 600 patients', 'Currently accommodates 300 beds due to Covid-19', 'Offers community psychiatry nursing services', 'Provides laboratory services', 'Operates a 24-hour pharmacy']",,
Accra Specialist Eye Hospital,,"['ophthalmology', 'pediatrics']","['Offers general ophthalmology consultations', 'Performs cataract surgeries including micro-incision cataract surgery (phaco)', 'Offers laser eye surgeries', 'Performs glaucoma surgeries', 'Performs retina and vitreoretinal surgeries', 'Performs oculoplastic surgeries', 'Performs chalazion incision and curettage', 'Performs foreign body removal from the eye', 'Performs cornea transplant surgeries', 'Performs vitrectomy for retinal detachment and vitreous hemorrhage', 'Performs enucleation and evisceration', 'Performs combined cataract and retina detachment procedures (phaco‑vitrectomy)', 'Provides pediatric eye care services', 'Provides optical services including refraction, contact lenses, and spectacle frames and lenses', 'Conducts visual field testing', 'Performs B-scan ocular ultrasonography', 'Provides fundus photography and fundus fluorescein angiography (FFA)', 'Performs gonioscopy', 'Uses optical coherence tomography (OCT) for macular and RNFL analysis', 'Provides macular OCT imaging', 'Performs Schirmer’s test', 'Performs Amsler grid testing', 'Performs color vision testing', 'Performs stereopsis testing', 'Performs keratoscopy', 'Performs cycloplegic refraction']","['Optical Coherence Tomography (OCT) machine', 'OCT imaging with RNFL and macular analysis capabilities', 'Fundus photography equipment', 'Fundus fluorescein angiography (FFA) imaging capability', 'B-scan ocular ultrasonography device', 'Gonioscopy equipment', 'Visual field testing equipment']","['Voted Best Eye Hospital in Ghana', 'Founded and managed under the guidance of Dr. Asiwome Kwesi Seneadza', 'Staff includes ophthalmologists, surgeons, and eye care professionals', 'Has insurance partnerships with leading providers']",,
ACHIASE HEALTH CENTRE,Ashanti Region,[],[],[],"['Government-owned health centre', 'Provides general health services', 'NHIS accredited']",,
